Name,Comment,Likes
NatNightStar,THE FORCE BE WITH YOU PRINCESS LEIA!!!!,2
onionknight69,So Kylo and Rey are siblings?,0
Emma McGuckin,<b>S H O O K</b>,140
Lily Mane,They made him kill his mommy :(,0
Dude with the Tunes,Looks like a soft reboot of Empire Strikes Back.,0
Andres Ruiz,What if it sucks? ....,0
Monica Morgan,Rip Carrie ❤️,5
Maxipad13,Oh...my..... GOD THIS IS GONNA BE AN AMAZING MOVIE I LOVE STAR WARS SO MUCH I CANT WAIT I DONT KNOW HOW MANY TIMES IM GONNA SEE IT,0
Flores de Belen ,Luke diés and evil prevails,0
Brian Cota,JA JA JA JA. JA,0
LegionDaGhost,No love for the 4k crowd here c&#39;mon....,0
Brendan Thomas,"Awesome, but I think they&#39;re revealing too much",0
Lautaro,Lo esperaba con ancias,0
Diego Tr,"All Star Wars fans, this, is your Christmas gift!!",0
Fresh PoLo Of LA,"Dang i shoulda never seen the trailer, super duper wack!",0
Carlos Munoz,A BUNCH STAR WARS FANS -_-,0
chloe kapoor,I have one question and one question only ... is Kylo Rey’s brother?,0
The Red Sea,Why is everyone exaggerating that this trailer was the best!!!!?.,1
Febrina Veronika,Can&#39;t waitttt,0
Alek Ladd,I now know all,0
Matteo Ferrari,Everyone subscribe and get me to 1000 subscribers please,0
Ben Krauss,Those ships need some concentrated dark matter. I know a guy.,0
Eyedeas Never Die,"&quot;Let the past die&quot;  why would Kylo talk to himself, got a feeling that hes talking to Rey there.  Also when Luke talks about seeing raw strenght before,  wonder who he means.  Could be Kylo,  maybe even Palpatine.  Snoke knows of Luke but wonder if they ever came face to face or if its just because Luke is pretty famous",9
luccafont,It&#39;s amazing how badly people want to dismiss this as a rehash of empire strikes back.,1
Gabriel Jones,SNOKE IS UNCLE OWEN!?!?!?!?!?,134
Joseph Joestar,I&#39;ve never seen Rogue One and Attack of the Clones.,0
ShAdOw,Beatiful...,2
TJ18 Gaming,Can&#39;t wait to see it. Very exciting.,0
Joseph Joestar,AGAIN  <br><br><br><br><br>It&#39;s like poetry it rhymes.,0
brandon nguyen,Matt freaking sucks,0
Ricky Williams,Another Epic Fail. Rest in Peace Star Wars...you 👅!,0
Blaine Goff,No no NOOOOOOOOOOOOOOO TO MUCH NOLAGE,0
northborneo27,next is star wars: no more jedi,0
Andy,Star Wars is all I like in my life ❤️,2
Harry.,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m32s"">1:32</a> plot twist",0
Taz FCUM,Preferred Rogue One to T.F.A would so much prefer Rogue 2 to this. But it&#39;ll have to do :),0
brooch,<b>O SHEET TIME TO WASTE MY HARD EARNED MONEY</b><br><br><b>Breaks piggy bank</b><br><br><b>IS 29¢ ENOUGH?</b>,0
Chrisanta Aguilar,Is Vader in ben??,0
D3F4U17,&gt;&quot;this Christmas&quot;<br>&gt;&quot;December 15&quot;<br><br>Didn&#39;t know Christmas was 10 days before the 25th.,0
SharkandMinno,Rae is totally the emperor’s daughter,0
Timothy Tan,HYPE HTPE HYPE HYPE HYPE,0
KENNETH Harpster,Great music!!!!,0
Alzhan Mafia,Hype))),0
Chrisanta Aguilar,..,0
Beatrice Jacobs-Johnson,This movie is gonna be the best Christmas gift,67
Redzion,Me volvio a helar la sangre,0
Peter has blue legs,Kylo Ren is my favourite character,214
leonardo ladino,I will see it someday on netflix,0
Jesse,It can&#39;t be as good as it looked... That was the best trailer I&#39;ve ever seen.,0
PanthersfanK 1772,OMG YAAAASSS,0
Matthew St Pierre,Fake viewsssss,0
Javier Barrera,ok,0
S0CK3T,i know it sounds crazy but hey not a flat earth theory... meanwhile once this comment comes out half the internet attacks its poster ME,0
COSMIK 714,I guess,0
Moonshot Media Inc.,"Plot twist: Rey, instead of being a Kenobi or Skywalker, is the daughter of Galen Marek/Starkiller/His clone and Juno Eclipse.",0
qbek,"Make a sci-fi movie out of good universe, like Eve for example and let just this childish star wars franchise die.",0
Dorcenio Segura,Hay mi madreeeee,0
Ramond Ferreal,In which episode does the Jedi finally figure out how to switch off their opponent&#39;s lightsaber?,0
ANGRYZACK16,I want to see this so bad,0
ArcadeGo MCF,Hype,3
yLuckyy,HYPE,2
MrKingBanana,Hopefully Jar Jar is in it,0
Denos,Okay guys do you bet there&#39;s gonna be that one guy in the movie people will care more than the intended badass ?,0
Cshakuore,SITH!!! WE HAVE RISEN!!! 😈,0
IsaiahG5,Hype!!,0
giovanni panganiban,My early Christmas gift 🎁!,0
TurtleTube24,👏👏👏👏👏AMAZING!!!!,0
abcmaya,Snoke look much better,0
Justin Williams,"Dang ,can&#39;t wait for epic lightsaber duels",0
davism131,The social justice is strong with this one,0
Eric Heiner,...<br>...<br>...,0
Kudu Doodoo,"snoke is an ancient force being, imprisoned for thousands of years, and woken by order 66. he feeds off of the force energy of the jedi to restore his physical form. Thats why luke is hiding, and thats why rey is floating at the end of the trailer. snoke is using kylo ren to make him more powerful, and then to take his force powers as well. got all this from a theorizer with a source inside disney. Also rey is probably very old as well, as she says, then she is awake. i think rey may have been the one who imprisoned snoke",1
New Order of Alexandria,"If Rey actually turns to the dark side I will love this new trilogy, would be such a good twist",0
Helvécio,<b>H Y P E</b>,0
Kudu Doodoo,I&#39;ve watched this now 8 times,6
joshuadropemoff,U known the drill<br>1.Luke<br>2.Porg<br>3.Rey<br>4.Finn<br>5.Leia<br>6.Chewy<br>7.Kylo Ren<br>8.Snoke<br>9.Ahsoka<br>0. Han Solo (rip),106
Sir Pugsalot,I miss the clone wars.....,0
Cowgod-Music Moo,Wow it&#39;s coming so soon⛄️,0
Lemobread,HYPE!,2
Jay M,Kool,0
The Illuminate,CARRIE FISHER!!😢😢😭,0
CRAZY YAK,Why would anyone dislike this,24
DerpyDerpDeDerp,I’m here be like “how do I cook toast with my lightsaber”,0
Zer0.999,HYPE!!!,0
Patrick van den Berg,This is such an epic trailer especially when Kylo Ren the master of the Knights of Ren is revealed 😍,0
Wow,Where is Jar Jar Binks?,52
OTOD tag,RIP Carrie Fisher,0
Aron,So does Mary Sue teach Luke the ways of the force in this movie?,0
Vincent Ramirez,Remember me when I get lost in the comments,89
Alice Hodges,REYLO REYLO,0
fallenhope1,SPACE PENGUINS!,0
Twinkle The Inkling and Octoling Animations,Holy Vistas! I HOPE IT LIVES UP TO ITS POTENTIAL Disney!!,0
col1010,I think Rey is gonna join the darkside and Kylo Ren is gonna join the light side,25
philip joseph,I just wish kylo was more menacing is all,0
Tripping Pug,Star The Last Jedi Wars looks good.,0
Stacy K,Noice!,0
Secretz316,Am I the only one that wishes Kylo Ren would put the helmet back on?,0
Beedo Plays,When you see a spider &quot;kill it&quot;,1
Judah Moro,Hi guys it would be a huge help if u guys could get me too 200 subs. Everyone who subs will get a shoutout on all social media and subbed back. Comment when done.,0
Ethan Cerwinski,Fin dies,0
GeoBricks,21 MINION VIEWS 😁😀,1
EFFIGY Entertainment,"Kyle Ren = what Annakin would have been if he was truly dark, from the start or naturally.",0
FirstChain_ Prominence,Idk if I&#39;m trippin but is she going over to the dark side or what,0
Nobody,Whoever disliked this video is a hater,0
floral junkie,here come the tears,0
Josh S.,Better be just epic! 👌,0
Stuee,Yeah...none of that will be in the movie.,0
jaye ful,Directors: &quot;DON&#39;T WATCH THE TRAILER!!!!&quot;<br>THE WORLD: <b>watches trailer</b>,12
James Szumowski,Major improvement over The Force Awakens,1
Anthill3612,We need a Phantom Menace Reboot.,0
TheMariaShow,How is there dislikes? This is amazing!! :),0
Injen,<b>Say last jedi</b><br>Me: I thought Rey and The killer of Han solo were jedi&#39;s,3
Derek Severini,Haters: This movie is just going to be a ripoff of The Empire Strikes Back. <br><br>Rian Johnson: Hold my beer,3
Bunny Blood,Vay aq be heyecanla bekliyorum,0
Pinhead Larry,Apparently John Williams made this soundtrack himself. I think we got some epic music in store for us in the movie.,3
Snake eater,"Great, the last knight and the last Jedi. Two great movies",5
Stroud Tha God,I hope this movie is actually good,0
J̅o̅h̅n̅n̅y̅ F̅a̅v̅o̅r̅i̅t̅e̅,Looks worse than Howard the Duck.,0
Ana Velez,That trailer almost made me faint 😀😲omg,0
Dino Donut,"Who is luke referring to when he talks about this kind of raw strength? Vader, or Palpatine? Idk",0
Black Streets Hustlers,"вы шо охуели,где субтитры?",0
Luke Not Skywalker,None of these scenes are in the movie btw.,3
hatsunemiku,Luke has more dialogue in this trailer compared to all of TFA,0
Berk Tuzun,Jar jar ?,1
Bobby Goetz,MAKE AMERICA GREAT AGAIN!,0
Trash Boat,I don&#39;t understand starwars,0
Beach Dreams,well now that we know 75% of the movie..,379
BKJEEP,Still no Ewoks... LAME,0
預期者,A-A-A AMAZING,2
Berk Tuzun,Am i the only who wonders about what happened to mighty lord jar jar ?,1
Kingslayer 101,Better than rouge one,0
S,~blows a kiss to the stars~   for Carrie.,0
Berk Tuzun,Where is lord jar jar they didn’t even show what happened to jar jar wait maybe snoke = old jar jar ?,1
rantingsw3de,If I hear the word &#39;destiny&#39; in another Star Wars movie...,0
Cheese Crumpets,SPOILER ALERT: <br><br><br><br>Snoke is Uncle Owen,0
BiG&MaC.,If this isn&#39;t PG-13 I&#39;m not watching it,0
Lucky Lüks,Hype is real,0
Ryueko,Thank you Pandemic Studios for introducing me to Star Wars and Battlefront,0
Shady P,First.,0
AML music,Back to the FUTUR 🥇,33
mustafa198289,"Theory: Snoke was  senior student of Luke, who seduced kylo into dark side as well. Luke used darkside of the force to beat him (disfigured face, force lightening) and is now ashamed, scared thus has become a recluse. Fear is the passage to the dark side.. fear leads to anger, anger leads to hate, hate.. leads to suffering...",0
Justin Hogan,"Rey and Kyle are going to switch as Antagonist and Protagonist, Kyle won&#39;t go through with killing his mother",1
Jordann Shim,Yeah Star Wars can’t wait for it,0
Star Wars kid 108,Lando  is Snoke,1
benson,cant wait for luke to talk about biggs,45
ja hallo ich bin der coole junge,Wer kennt jay and arya😂😂,0
Fulvin,"Lea better not die in this movie, just because Carrie fisher died doesn’t mean that one of the most famous Star Wars icons has to die either.",1
CyberPup 22,"did you hear that loud rasp at the end of the scene where rey activates the lightsaber, the exact same scream from Revenge of the sith when he attacked the Jedi.",0
Gtx 1080,She won’t join the bad side because she is on the goodies I Star Wars battlefront,0
Kyu Igurashi,I hope both Finn is actually becoming a Jedi with Ray,0
Washburnepiphone,Boring,0
Diente de Pollo,I thought we HAD ENOUGH of weird CGI creatures. I guess for Hollywood it&#39;s never enough of those.,2
Fletcher Reed,Give it. Now.,2
NotSo God,Leia ;-;,0
Your Mum,Nixe only nice,0
Daði Alfreðsson,Omg,0
chrome,"Theory: Rey gets messed in the head by snoke. She foghts and kills luke. She snaps out of it, flips out, and Kylo ren offers to help her and they go rogue together. Thoughts?",1
Snow boys,Gave me the chills watching it,0
FURIOUS_ GAMER,The lightsaber looks sooo weird in daylight,0
Amanda Congemi,Rey is anikan reincarnated,0
aric Gidosh,How much do ya wanna bet supreme leader snoke is a very very old sith master from the old republic. He’s not darth plagues cause he’s obviously human,0
soyowo,What if it turns out trash?,8
Hi there,(Ding) +1 sin<br>This scene in trailer does not contain lap dance.,0
LazyPanduh,This trailer is misleading don&#39;t worry,0
WokFriedShrimp,Who else looks at the giant walkers and think they have little fists 😂,0
Genshiro The King Of Groove,Oh Yeah baby. Number 1 in Youtube Spain,0
Tendai Mhiripiri,Kylo Ren looks like a young Severus Snape.,26
Christian Mejia,"Dec 15th, my birthday.",0
Chirag Sharma,Finally 😭,0
Gussamuel,THAT ANAKIN SKYWALKER SCAR IS BACK!,3
Sniper20Destroyer,The whole plot is that everyone is looking for Luke&#39;s missing hand!!,0
Afreename,It seems Chewie has found a new charismatic friend in Han Solo&#39;s absence!,0
Miller,Hello there,222
Jackson Bullock,I cried when I saw Carrie fisher 😭,0
Anonymous Viewer,<b>Demonitized</b>,32
brettg888,That was a great action packed trailer!,0
Alex Kicks It,It’s amazing how much Star Wars fans we have in this world,0
Melted Frost,"<a href=""http://www.youtube.com/results?search_query=%23ricegumisabitch"">#ricegumisabitch</a>",0
John Smith,Eh,0
Je-note,graphics just meh,0
Nick LaLiberte,Awesome....,3
Shronk,Woah,0
wolfie flixZ,U,0
Sadhbh_ 627,Soooo Hyped👌🔥,0
DanB68,Lol they&#39;ve spoiled a death and a plot twist with their own trailer,0
RiceMenace,So either Rey goes full dark side or Kylo and Rey ditch the system,0
meezy 95,Why do the special effects look so bad,0
Kaoru Mazazaki,"That is bull, that cant be luke for he has a ebtirly diffremt fighting style so how the hell can they say its luke when he doesnt have the same fighting style and dont say well hes gotten older bdcause if you look in the series no one changes there fihting style for it works so why is it when she lurns she lurns so,ething entirely diffrent from lukes fighting style even though the teacher should be teaching his or hers style of fighting for it is the one the jedi master knows best and luke lurned his fighting style from yoda so it is desrasing the original jedi masters fighting style for yoda was one of the first jedi masters that tought all the young padowans",0
Carlos Lane,"I&#39;m excited... I wasn&#39;t before, but it looks different from what I was expecting.",0
nadim abdu,Has Finn become evil?,0
Joe Brock,😱😱,0
diggydaz2007,The Crystal Fox is Coooooooool!!,0
newc1236,Finally revealed: Adam Driver = JarJar. The acting gave it away.,0
PascalCase,Who&#39;s excited?<br><br><br>totally not just for likes,0
ogundele Rachael,Why isn&#39;t Dec 15 tomorrow lol?,0
heartt,Those 18k dislikes like star trek,97
Ziich,OMG OMG OMG,0
bobthebeat2008,looks shite! what&#39;s with the hamster flying the falcon?,0
ATLienMJ,DO FRICKIN BEAUTIFUL,0
La'Toya Nicole The Face Slayer,"Luke Skywalker: &quot;I&#39;ve seen this raw strength once before,&quot; (Luke says, wide-eyed). &quot;It didn&#39;t scare me enough then. It does now.&quot; Translation... You evil B!+c☆! Lol 😂😂😂",1
kainblood1000,"Genre is beyond dead, I can&#39;t even get through the trailer without lmao.  I didn&#39;t think it could get worse after awakens, looks like I may be wrong.",0
Thuy Duong Lam Thi,The Last Knight :D,0
Ski Casting,Rey is a sky walker you heard it hear first,0
DentedTester36,This looks amazing!!!,0
Noel Connors,Yaya,0
AK_95,HHYYPPEE,0
Geremy Dunn,"A message to dem haters:<br><a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m45s"">1:45</a><br><br>Edit, 2 days before movie is released:<br><b>CALLED IT</b>",2
The Democratic People's Republic of Korea,What about the droid attack on the Wookies?,2
Ryan Green,Pay enough attention and you&#39;ll realise Rey isn&#39;t talking to Kylo Ren at the end,0
Boom tendo,More Slugterra. Less Star Wars please,0
Chidooriii,Spoiler Alert,0
Golden Constellations,my otp is crushed,0
Senor Cartier,Can the bad guy win for once?,2
ctorange,It&#39;s like poetry.,0
pie,It gave me goosebumps,2
Kylie Stewart,Is Ray going to the DARK SIDE???????,0
Scrob,"Did Chewbacca catch a Pokemon to heal his Han grief? <a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m32s"">1:32</a>",0
Gus Grimm,"Seduced by the dark side, she will be...",0
Splendiferous,This gave me chills.,0
Newfie Mike,"R.I.P Carrie,you’ll always have a special place in my heart,and to others...",12
Top Lobster,Wow ... if have no idea what this is about ... good job on a trailer for once for not showing me 87% of the film,0
islandonlinenews,Oh no! Was that Peng Peng?!,0
Saul The ball,SOOOOOOOOO EXITED,0
Paul Smith,Why on earth would you dislike this??,2
Aquarius 510,Luke is the last Jedi!,0
Cole,Where&#39;s my Fin! Why isn&#39;t he a main character!,0
G GG,trash fast food for idiots,2
Joey Horist,"I have a new Rey origins theory. It gets complicated so pay attention. It is a mix of various other theories floating around. Maybe Rey has lineage of many major characters. Maybe Anakin had a secret sibling conceived by Qui-Gon Jinn &amp; Shmi Skywalker who went on to hook up with a child fathered by Palpatine who then went on to hook up with a Kenobi descendant. Convoluted and improbable yes, but who knows. We shall see! We know most of these characters were prone to flout the statutes of their respective Jedi/Sith lifestyles. That would explain what Luke means in the trailer when he says he has never seen power like Rey&#39;s before. She is so powerful because she descends from so many powerful ancestors.",0
Jesús Cerén,Me cague,0
Ravenbinwu,Who else is getting hyped,12
Iulian Redinciuc,anyone else is getting chills when luke is talking about ray&#39;s strenght?,0
Christopher K,I foresee Kylo Ren extending his hand to Leia...,0
Noah Infinity,I CAN&#39;T WAIT,0
NetterKinz,i just died...,0
Lol X,Me vengo,0
pokemon goal,Wowowow,0
Winston Cruz,Whats number one trending if this is second?,0
BunnyMan,The music when Kylo comes into the trailer is awesome!!! :D,0
YZIPITY,This guy looks like Snake from Harry Potter 😂,1
Arabio,Es hat nichts mehr mit dem Star Wars zutun was es früher einmal war...es ist irgendwie so als ob es eine schlechte Nachmache sein soll aber naja freue mich trzdm!,1
Timothy Smith,That baby seal thing will destroy the First Order in all of it&#39;s cuteness!,0
SillyBeastMonkey,Luke skywalker said 10x more in this trailer than in the force awakens,0
Der WLAN-Kabel-Verband,Please rename this Video to one of these:<br><br><b>**SPOILER**</b> Star Wars: The Last Jedi Trailer (Official)<br>or<br>Star Wars - Episode VI: Return of the Jedi summary (Official),1
UnwrittenEarth9,Yes finn is alive,1
ceelinee,21 million views in 2 days! sick!<br><br>*Edit: 3 million views more (in 13 hours!) 😮,0
zerbon 92,Здесь был  топовый zerbon92,1
Zubair Arslanbekov,Маза факаааааааааа!!!Инкредибл!Инкредибл!Инкредибл!!!!!!!,0
Blone Depa,I hope they will make a pizza version of it,0
ZpyrOThaDragO 1593,<b>jaw drops</b> Oh! My! Gawd! Waaaaat!?,2
Evan Anderson,Where is Spock at,0
Dragin,Can we get a clone wars movie with the prequels cast  or a Vader movie when he first became Vader.,0
Creating Designs,Woooooooooooooooooooo!!!!!!!!!!!!. OMG!!!!!!😱😱😱,0
Hopen,AAAAAAHHHHHHHHHH<br><br><br><br><br><br>like if you agree,0
Siddharth Mehta,OH MY GOD IT LOOKS AMAZING,1
NotABot,Did anyone else get chills all the way through that?,0
Alen,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0
Emperiex,Am I in this movie?,0
CillzGamez,I want to see it on December 15 but there’s probably gonna be traffic for the movie half an hour Away from the theatre,0
LazerPop,Lit,2
Angello Hector,"If Luke didn&#39;t have the need for Power Converters, the events that led to this would never have happened! He&#39;d be a farmer and Darth Vader would be retired now",2
Mckayla,R.I.P Carrie Fisher thank you for the gift you gave to the world A.K.A a wonderful Leia,397
Karen Perdomo,Rey😍😍❤,0
HardwareTipps,HYPE,0
Igor,GO HA GO HA GO HA I 3 zł,1
Kwadair97,Its not kylo at the end. Its Finn,0
JackieDJ,YES YES YES,0
Conner RK800,So the empoer storm trooper was fighting fin aka fn2187?,0
クリスティアン,The Orville is way better,0
Dennis,go figure Disney would have to by Star Wars then screw it up. I am so glad I bought the set before they got their grubby hands on it.,0
Mckayla,I&#39;m so excited you don&#39;t even know!,0
A Rice Crispy Treat,You dont know the power of the Dark Side...,1
WIZARD,Snoke is probly plageius or just a new character,0
Yobble,STARWARS!!!!,2
Hayden The Digger inajtes,Luke better be the main character here.,2
cora petty,This is going to be LIT only 2 more months!!!,0
Mr Picky,more exited about ragnarok,0
Crangis,Im a huge star wars fan but I hate was Disney has done to the universe,0
drakal,Transformers the last yedi huuuu warrior :v,0
carlos ortiz,It&#39;s a trap!!!,0
Boba Fett,When Leia comes on screen how weird is that guy behind her walking?,0
Fabricio Vidal,OMG FIN MAH BABY SON WHOOOOOO,0
Brandon,Look at all those chickens!,0
Księgovsky,W.O.W,0
Adebayo,Can’t wait for the big Donald Duck vs roger rabbit lightsaber battle!,0
MOLE,Bore wars. (Yawn),0
Julian Jaspers,Excited,0
Marco ,That John Williams score is amazing as ever!!,1
Adryan Malaver,Who else just came here to see the porg,21
CliffuckingBooth,I applaud it for being different !,0
Caprioly,"So Luke starts to teach Rey. Luke realizes how powerfull Rey is. It reminds him to Ben Solo so much that he is convinced that Rey is also going to be just another threat to the galaxy and to the balance of the Force as Ben is. He either tells Rey to leave and never return, or attacks her, trying to kill her before she becomes the very thing Luke is very scared off. Rey either leaves or escapes dissappointed in Luke Skywalker. She does not find her in the galaxy, so she turns to Ben for guidance who accepts her as an apprentice. Together they try to defeat Snoke but they fail. Snoke destroys Lukes lightsaber, disarms Rey and cripples Ben. They can barely escape with the help of Chewacca and FN2187. The movie ends with all of them in a medical facality, trying to decide how to continue.",0
Ryder Stejskal,I have such an emotional connection to this movie it is indescribable. In plain simple words I love it more than anything.,0
Robert Saladino,Come on Disney think outside of the box...let them hook up...,0
Freshprincews,Please for the love of god don’t overhype this,0
Periwinkle,I don&#39;t get star wars,0
TheCarkolum,Star Wars needs to die before getting even worse...,10
Valkyrie,OMG now I can&#39;t wait😱😱😱,0
Marius Zink,The Last Porg... Kappa,0
Pushicorn bob,can&#39;t wait!,0
Some Sad Knick Fan,Those giant robot snow camels are back!,0
Javier Lorenzo Gálvez,E,0
Javier Lorenzo Gálvez,P,0
Javier Lorenzo Gálvez,Y,0
Javier Lorenzo Gálvez,H,0
dwarfie24,Whats up with the pengiun. When did star wars have an obligatory need for a cute charachter.,4
Ida I. Dueland,Carrie Fisher❤️,0
Coconut Leaf Spine,omg i&#39;ve never cared about star wars ever before but this looks dope,0
Miro,Snoke is a ancient sith vampire and Rey is the new Anakin aka The Chosen One,1
Ariel Garcia,How does this have more views than Eminem roasting Donald trump,0
Wort Wort Wort,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m28s"">1:28</a> OMG I WAAAAAANNNNTTTT IIIITTTTTT!!!!!!",0
Ervinas150,I thought star wars ended:I,0
Faktum Stream1Beatz,"A: Obi-Wan Kenobi says &quot;Only Sith deal in absolutes&quot;.<br>B: &quot;Only Sith deal in absolutes&quot; is an absolute.<br>Therefore, if A &amp; B are true, then <br>C: Obi-Wan is a Sith. (He admitted this using his own reasoning in his own words: He used an absolute.)<br><br>Also, if A+B=C is true then <br>D: Nobody sensed Obi-Wan being Sith.<br>E: Obi-Wan was surrounded by the most powerful Jedi in the Jedi council.<br>Therefore F: Obi-Wan is either a POWERFUL Sith OR the whole Jedi council are powerful Sith! <br>Bonus: <br>Yoda stated: Do or do not, which is also an absolute.<br><br>Argument: It was a logical blunder.<br><br>Answer: This &quot;blunder&quot; sendt his favorite Padawan, Anakin, into a lake of fire and molten rock. Obi-Wan leaves him there to burn, be picked up by Obi-Wan&#39;s Sith friends, where Anakin becomes the most Evil Sith Lord in the Galaxy.",58
M͟o͟n͟t͟e͟ C͟a͟r͟l͟o͟,<b>George Lucas save us before it&#39;s too late</b>,4
Miro,<b>hype hype hype hype hype hype hype hypehype hype hype hupe hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype hype....</b><br><b>GET HYPER!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!</b>,1
some stingy on the internet,This is great if you want to make merchandise,0
Lasse Nilsen,Wooow,0
Johnny Bernard,who saw the trailer during MNF halftime?,1
Craig Bronzo,"So luke trains rey, kylo kills leia, kylo joins rey, and them two probably kill snoke, this trailer gave away half the movie.",0
mwtwombley,"Even if this movie turns out to be bad, you can&#39;t say that the cinematography isn&#39;t gorgeous",0
First Name Last Name,Loving the red theme,0
Ivan Flores,"OMG, is perfect the traíler",0
Peter Weinmann,... ohne worte ...,0
OSTREYCH,Rey Palpatine,0
First Name Last Name,They must of been like how do we make money oh let&#39;s make a new adorable animals,0
The Wuffball,That music is beautiful,0
LuomuPiirakka,this is sith,0
MAD Gamer,Rip luke and chewi,0
jungletechnoMK,Porgs or..... PAWGS??,0
Anes Catman,waaa,0
Ruby De Borja,it&#39;s beautiful I almost cried 😭,0
Barnaba,DEGENERATION !,0
EaZy___,"Meh,I&#39;m not interested on star wars movies anymore :/",3
Soetpotatis,"Please,no more trailers! This is PERFECT as it is! I for sure am pumped as hell for this!",0
ChileanCrack!,QUE WEA MAS BUENAA!,0
dobbs,Is it just me or is there a lot more cgi in this compared to force awakens? I just found it a little strange didn&#39;t they figure out a formula in ep.7 that worked?,0
Dr Dino D. Diplodocus,A N O T H E R    H A P P Y    L A N D I N G,0
TheEdac,Very excited to see Kylo.,19
Elisa Garagabedian,😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱<br><br><br>I’VE NEVER SEEN ANYTHING SO AMAZING!!!!!!,0
Ivan De La Garza,This gave me that same Star Wars hype from The Force Awakens. I can&#39;t wait to watch it! 😁,0
Superzebra35,"I going to write a comment that no one will see<br><br>This looks cool, can&#39;t wait to see it, its fine if other people don&#39;t like it, I appreciate that they are trying new things, it doesn&#39;t need to be exactly like the old trilogy.",0
Eddie Toast,Rey mysterio,1
Nitro Skills,Who thinks this is going to be a awesome movie,2
Jack Montgomery,The First Order Strikes Back*,0
Skozaa,GODVERREDOMME WAT EEN FIJNE FILM WORD DIT :D,0
foxman27bfe,Nice lightsaber... but does it djent?,0
Rohit Iyer,"got serious chills watching this, CAN&#39;T WAIT!!",0
HENRY THE RC CAR,REST IN PEACE PRINCESS LEIA! :(,2718
TUNG-TABLE,CORNY!!!! Lol,0
MOBNXTDOOR,Flinn nooooo,0
Lil manex mane,OMG,0
S.fingerboard,the view count is glitched,0
a1971h,"What makes me so &quot;SAD&quot; is that &quot;The Last Jedi&quot; is going to get the same destiny as &quot;The Empire Strikes Back&quot;: BEST movie in its trilogy due to its POWERFUL STORY, but LEAST box office in its trilogy due to its DARK TONE!!!",0
James Limb,Maybe the end is Kylo reaching out to save his mother? Who knows?,0
HamOWeen,WOOOOOOH,0
devin garcia,"I’m not lying, my birthday is the day Star Wars comes out! Happy B-Day To Me!",2
Julia Villanueva,Omg omg i like <br>Llore de emoción amo toda esta saga esperó con ansias que salga ya,0
BMk'er,Where is Spock,2
Andrew,Why’d they replace Princess Leila’s actress? It’s gonna ruin the movie!,0
banana,Kylo and the other chick finna smash,0
Pook,Looks good.,0
Steven P,"Chewie with no Han Solo and Leia, I&#39;m sad : (",18
Justin D'Souza,I like the way Snoke says &quot;Raw&quot;,0
Tudor Pamfil,😁😁,0
Zachary Trudell,🙌 Star Wars Forever 🙌,0
Apostle Paul,Watch 1.25 speed thank me later,0
Chris Fox,"raw untamed power is prob kylo&#39;s force ability; sth truly special is prob his connection 2 rey (not necessarily biological, but sth force-related; involving luke)",0
roody crles,May the force guide you<br>( <b>To your local movie theater</b> ),519
Trinivalts,Hype only isnt doing it for me.,0
Cris Hofer,The Hype is real!,0
Richard Melendez,Now this is Pod Racing,0
Migyel rian,Melhor filme,0
Rud,Zzzzzzz,0
JongTjoebers,DE TING GOO pew pew pew,0
roody crles,<b>All aboard the hipe train</b>  the hype train is already full,88
Wil Kuper,Carrie Fisher,0
Roshan Layall,Is it just me or does anyone feel a bit of de ja vu?,0
aimlesfez,There is always a welcoming hand in the darkkkk sssside.,0
Paul Hodgson,I can not wait to see Star Wars the last jedi  it looks fantastic paul,0
Kevin Santi,so hyped,0
Merky,Goosebumps,0
Equilibrium,looks like another generic clichee´ sci-fi money grab - movie to me. <br><br>poor franchise,9
Ben Winchester,May the force be with us all,6
Alexander Gomez,Kylo ren is lit,0
VirtualKermrade,HELL YEAH,0
Carrie Fisher,Don&#39;t worry guys Luke was only looking for some power converters.,38
Zachary Miller,AWESOME,0
Ni Ki,Hey need abos,0
The Musical Stylings of Brent Bunn,I really want to love Star Wars but the obnoxious fandom kinda kills it for me.,0
Christoffer Boman,Princess Leia 💖,0
